State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Rural_Households,Total_Power_Parity,Urban_Households,Female_Workers,Male_Workers,Total_Education,Literate_Education,Illiterate_Education,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Rural_Households,Urban_Households,sex_ratio,literacy_rate
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,696289,3998,111282,587892,1076170,4738098,2784730,1953368,902272,757690,447480,342254,191824,131163,12047,3876395,488121,3943,913,870,1723,108,19345,2810026,936630,537333,107429,696289,111282,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,515925,2370,38133,188615,539586,2714598,1736879,977719,540603,470828,291624,223776,123249,79109,7690,2119262,436057,2463,271,167,133,28,3631,1642807,546202,370662,2341,515925,38133,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,325909,1516,30851,275283,452288,1850774,1085477,765297,420472,317612,153973,104211,56137,29633,3439,1525746,217621,8443,162,159,87,3438,4749,1135919,392052,227016,5418,325909,30851,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,186660,960,28132,98955,266423,1221874,725997,495877,211761,165906,117558,112966,68748,45519,3539,1045117,75742,691,148,248,60,58,3249,714244,254582,155106,1381,186660,28132,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,668232,2516,69838,253044,760522,3150989,1445438,1705551,472616,444260,237243,133811,88498,57114,11896,1684589,1365645,8659,2754,212,507,2141,6522,2054202,660403,353483,2941,668232,69838,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,373696,1254,21007,162589,398216,1828574,925251,903323,350601,233494,130004,100555,65931,38697,5969,1486989,175588,1253,143,79,86,115,2633,1114645,355531,195796,914,373696,21007,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,401793,1347,43357,107872,421192,1714516,769119,945397,356401,235779,89025,42778,25989,15386,3761,531236,1149095,5783,398,183,1476,28,2201,1139615,361114,188447,1224,401793,43357,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,175882,904,31763,86082,240494,1048922,597955,450967,172076,149312,111684,85807,48001,27261,3814,956396,40886,487,140,52,78,52,2821,650642,218840,130655,775,175882,31763,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,486278,1494,24000,281500,496046,2077788,875510,1202278,340813,189431,114474,99437,79891,44955,6509,1753829,241760,1342,170,60,133,81,4387,1311771,444235,242382,3374,486278,24000,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,1047552,3520,41234,530991,1105947,4702068,2698989,2003079,783888,771417,520875,303114,170563,137780,11352,3652168,818912,3262,564,328,442,169,11534,2860455,1009424,611899,5601,1047552,41234,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,222281,1424,85782,99205,327453,1348410,849734,498676,226699,158699,146414,147152,101907,64469,4394,1252319,110416,1815,338,95,145,61,2576,860147,316713,188319,2586,222281,85782,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,998694,4105,120700,352278,1195308,4828232,2903794,1924438,1092952,743623,419433,299475,194920,138916,14475,4032773,745546,5149,933,288,382,98,15893,3016735,1079189,697108,8030,998694,120700,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,514141,2578,102522,342015,703405,3309573,1985188,1324385,581978,486266,320839,274556,177358,133032,11159,2669775,198033,1978,393,414,561,64,6435,1829128,642197,403129,3199,514141,102522,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,379551,1924,45323,277602,539439,2580956,1489517,1091439,601011,368649,195072,161127,95943,64585,3130,1964620,244394,1299,250,176,279,80,8048,1440781,485628,288805,3932,379551,45323,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,839514,3181,96620,479665,999282,3893566,2182688,1710878,1053481,543965,250243,159563,98732,70669,6035,3047427,865090,8469,926,1337,296,1895,9602,2544205,888205,497793,4839,839514,96620,91.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,657991,7065,552103,445475,1436411,7511199,4920726,2590473,1244842,1095655,920051,698351,463361,452340,46126,5356075,439952,12551,4803,1062,2151,203,21668,3626564,1382654,815638,13609,657991,552103,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,1142260,4098,101565,476765,1260774,5293345,3150588,2142757,1280809,982506,450631,241118,121594,68781,5149,4086453,990349,4865,668,878,464,104,15590,3316422,1122340,648009,12600,1142260,101565,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,712847,2641,85749,340043,803275,3285643,1486857,1798786,668690,360243,184327,119259,83226,59996,11116,1989420,1255641,7989,614,353,1450,650,8502,2155512,696556,372692,39859,712847,85749,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,512383,1555,95678,216940,707939,3065196,2188753,876443,535187,548971,399053,333053,194928,161555,16006,2645415,300487,2889,2569,1584,252,537,6185,1875174,673742,407193,3809,512383,95678,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,432651,1582,38046,193174,456724,2006537,855188,1151349,348300,194897,104182,90182,64560,47051,6016,1629254,266620,1292,197,60,109,8,3121,1249692,415863,233870,1236,432651,38046,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,1012979,3500,43486,305824,1037576,4546359,2549708,1996651,781038,710468,438908,284082,186153,129933,19126,3800598,452370,2126,554,292,231,112,5283,2766930,913339,568812,12485,1012979,43486,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,701323,3667,76299,182571,857660,3967204,2653504,1313700,793945,693465,433759,361171,213251,148065,9848,3534772,406449,2330,371,229,322,107,7282,2516115,847031,585386,3330,701323,76299,95.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,108293,565,24345,73086,151569,715127,409518,305609,129673,110525,59529,52860,33856,19676,3399,596102,37653,313,75,41,43,31,2084,413475,136898,85045,924,108293,24345,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,158484,489,7516,49679,166693,657067,308989,348078,128209,91277,37063,25657,16031,10091,661,552492,99342,522,216,73,52,44,3505,421241,139909,93398,1698,158484,7516,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,807294,2679,49670,248654,865929,3488656,1635891,1852765,733380,394422,196321,136500,92783,70549,11936,2672311,740101,2897,261,253,188,20,7543,2206340,739982,449035,28217,807294,49670,90.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,632514,3014,41858,202020,730396,3628240,2421121,1207119,689880,612635,445257,355277,186817,119164,12091,2712635,608282,2618,369,407,359,86,5708,2115448,713597,498299,3120,632514,41858,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,572287,1836,27815,325964,551718,2336331,1116063,1220268,467768,269737,157787,99530,69665,45726,5850,1809936,409251,3758,271,136,546,42,5136,1453438,495020,277610,3008,572287,27815,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,699317,2930,51494,201696,858648,3750438,2271286,1479152,810191,487594,370247,291392,178320,124448,9094,3152346,333980,2203,707,362,246,71,5106,2176701,759132,486032,73156,699317,51494,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,8911,34145,289456,75977,328159,915756,731491,184265,80406,118667,114209,124707,98786,174528,20188,852574,51447,8720,138329,1160,1960,246,1014,602411,303748,148945,346,8911,289456,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,316425,1529,54894,322167,404364,1385784,656234,729550,183667,178766,139330,60936,57413,32895,3227,1277975,12413,27951,2099,985,3466,86925,1385,864272,358157,189569,1201,316425,54894,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,152458,3666,11987,94328,111543,353825,287961,65864,35817,59489,53515,64730,45695,25474,3241,371973,6984,236,2387,113,10,7,246,193671,107367,80497,421,152458,11987,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,549632,2981,188174,487730,715467,2567113,1624001,943112,382091,407692,337793,189296,152838,134637,19654,2540763,57973,20745,6373,2979,2357,29122,3317,1625484,655032,380114,2999,549632,188174,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,168689,782,41792,176513,226382,786941,572304,214637,143128,148544,120146,65196,58875,31319,5096,777188,10425,2644,1196,667,3612,3685,364,461125,213021,125429,206,168689,41792,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,533448,4209,349741,575076,921729,3186789,2363288,823501,463598,573291,497668,309508,286244,202424,30555,3129745,83499,24304,24276,19587,17209,42569,2683,1919832,898241,523656,2143,533448,349741,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,205670,856,20722,223715,263645,858263,529825,328438,120768,137681,127299,64188,50562,26161,3166,629509,15336,189588,474,467,694,14835,766,488965,214455,148100,149,205670,20722,101.0,58.0
